CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Neighborhood,Location 1
10/20/15,12:07:00,6C,6700 REISTERSTOWN RD,LARCENY,,Reisterstown Station,"(39.3582500000, -76.7052800000)"
10/20/15,13:00:00,6G,7600 HARFORD RD,LARCENY,,North Harford Road,"(39.3719300000, -76.5444000000)"
10/20/15,13:00:00,6G,0 E LAKE AVE,LARCENY,,Bellona-Gittings,"(39.3691000000, -76.6254400000)"
10/20/15,13:10:00,7A,2300 EASTERN AVE,AUTO THEFT,,Patterson Park,"(39.2859800000, -76.5842100000)"
10/20/15,13:40:00,5A,2800 RUSCOMBE LN,BURGLARY,,Cylburn,"(39.3481300000, -76.6645800000)"
10/20/15,13:56:15,2A,800 N LAKEWOOD AVE,RAPE,OTHER,Madison-Eastend,"(39.3002300000, -76.5795200000)"
10/20/15,14:00:00,6D,800 LINDEN AVE,LARCENY FROM AUTO,,Mount Vernon,"(39.2993000000, -76.6207500000)"
10/20/15,14:00:00,6J,2300 MCCULLOH ST,LARCENY,,Reservoir Hill,"(39.3110800000, -76.6376400000)"
10/20/15,14:10:00,6C,400 E NORTH AVE,LARCENY,,Greenmount West,"(39.3112700000, -76.6100900000)"
10/20/15,16:30:00,7A,1200 PENNSYLVANIA AVE,AUTO THEFT,,Upton,"(39.2995900000, -76.6298000000)"
10/20/15,16:33:00,5A,3800 WOODLEA AVE,BURGLARY,,Waltherson,"(39.3393900000, -76.5596000000)"
10/20/15,16:33:00,6C,6300 EASTERN AVE,LARCENY,,Pulaski Industrial Area,"(39.2876100000, -76.5398200000)"
10/20/15,16:57:00,6C,1400 KEY HWY,LARCENY,,Riverside,"(39.2715400000, -76.5989600000)"
10/20/15,17:00:00,6J,1800 EUTAW PL,LARCENY,,Madison Park,"(39.3078800000, -76.6312200000)"
10/20/15,17:00:00,5A,600 ARCHER ST,BURGLARY,,Washington Village/Pigtown,"(39.2818500000, -76.6300000000)"
10/20/15,17:00:00,6D,3600 ROSEDALE RD,LARCENY FROM AUTO,,Ashburton,"(39.3265500000, -76.6657800000)"
10/20/15,17:00:00,6J,6500 PULASKI HWY,LARCENY,,Pulaski Industrial Area,"(39.3043900000, -76.5393400000)"
10/20/15,17:00:00,7A,2900 EDGECOMBE CIR S,AUTO THEFT,,Parklane,"(39.3422800000, -76.6637500000)"
10/20/15,17:15:00,3B,3600 POTEE ST,ROBBERY - STREET,,Brooklyn,"(39.2387700000, -76.6111400000)"
10/20/15,17:30:00,5A,2300 MCCULLOH ST,BURGLARY,,Penn North,"(39.3114700000, -76.6381000000)"
10/20/15,17:30:00,6D,200 GRINDALL ST,LARCENY FROM AUTO,,Federal Hill,"(39.2776300000, -76.6104400000)"
10/20/15,17:30:00,6D,6100 RIDGEVIEW AVE,LARCENY FROM AUTO,,Glenham-Belhar,"(39.3493600000, -76.5396500000)"
10/20/15,17:39:00,7A,2100 HARFORD RD,AUTO THEFT,,East Baltimore Midway,"(39.3144400000, -76.5977600000)"
10/20/15,17:40:00,4A,0 CHERRY HILL RD,AGG. ASSAULT,FIREARM,Middle Branch/Reedbird Parks,"(39.2526600000, -76.6168100000)"
10/20/15,17:40:00,4A,0 CHERRY HILL RD,AGG. ASSAULT,FIREARM,Middle Branch/Reedbird Parks,"(39.2526600000, -76.6168100000)"
10/20/15,17:45:00,6D,400 W MONUMENT ST,LARCENY FROM AUTO,,Seton Hill,"(39.2972800000, -76.6214700000)"
10/20/15,17:50:00,7C,1000 N MONROE ST,AUTO THEFT,,Midtown-Edmondson,"(39.3002100000, -76.6476300000)"
10/20/15,1740,9S,1300 HERKIMER ST,SHOOTING,FIREARM,Washington Village/Pigtown,"(39.2818600000, -76.6377200000)"
10/20/15,18:00:00,6D,200 HOLLIDAY ST,LARCENY FROM AUTO,,Downtown,"(39.2920800000, -76.6102800000)"
10/20/15,18:00:00,6E,2200 WESTFIELD AVE,LARCENY,,Hamilton Hills,"(39.3645500000, -76.5694500000)"
